Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Hana,NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,Android DefaultWidevineL3Phone Android Phone,2020-04-10T17:28:51.849Z,2021-11-20T20:23:01.919Z,2020-04-10T17:28:51.849Z,2021-11-20T20:23:01.919Z,2020-04-10T17:28:51.849Z,2021-11-20T20:23:01.919Z,2020-04-10T17:28:51.849Z,2021-11-20T20:23:01.919Z,
Tarik,NFCDFF-LX-G7W5J32VK8XVNEWMX62AF1EGAE3YJ2,Netflix Linux Firefox Other,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,
Both,NFCDFF-LX-G7W5J32VK8XVNEWMX62AF1EGAE3YJ2,Netflix Linux Firefox Other,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-05-27T10:35:42.416Z,2021-11-20T19:05:10.173Z,2020-05-27T10:35:42.416Z,2021-11-20T19:05:10.173Z,
Hana,NFCDFF-LX-G7W5J32VK8XVNEWMX62AF1EGAE3YJ2,Netflix Linux Firefox Other,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-10-24T10:44:28.813Z,2021-11-19T19:54:05.601Z,2020-10-24T10:44:28.813Z,2021-11-19T19:54:05.601Z,
Tarik,NFAPPL-02-IPHONE8=1-5A96666E54CB3086C100BBF9440EB8FC7310C91C05A4077B6A3F69D6E3AF013A,Apple iPhone 6s,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,
Tarik,NFUWA-001-69DE709F5617E3BC19D1C4F28D1895C06AC6490401C19D78869A2184FC582F09,Netflix Windows App - Cadmium Windows Mobile,2020-04-17T13:53:43.757Z,2021-09-04T16:45:35.273Z,2020-04-17T13:53:43.757Z,2021-09-04T15:38:35.372Z,2020-04-17T13:53:43.757Z,2021-09-04T16:45:35.273Z,2020-04-17T13:53:43.757Z,2021-09-04T15:38:35.372Z,
Hana,NFCDFF-LX-G7RYKAMX6FURE5MWCLJ5T34L3C72QW,Netflix Linux Firefox Other,2020-04-10T17:34:11.198Z,2021-08-19T19:46:12.834Z,2020-04-10T17:34:11.198Z,2021-08-19T19:46:12.834Z,2020-04-10T17:34:11.198Z,2021-08-19T19:46:12.834Z,2020-04-10T17:34:11.198Z,2021-08-19T19:46:12.834Z,
Hana,NFAPPL-02-IPHONE8=1-5A96666E54CB3086C100BBF9440EB8FC7310C91C05A4077B6A3F69D6E3AF013A,Apple iPhone 6s,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,,,,,
Kids,NFAPPL-02-IPHONE8=1-5A96666E54CB3086C100BBF9440EB8FC7310C91C05A4077B6A3F69D6E3AF013A,Apple iPhone 6s,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,2021-07-11T21:28:23.307Z,2021-10-03T18:43:18.740Z,,,,,
Both,NFCDFF-LX-G7RYKAMX6FURE5MWCLJ5T34L3C72QW,Netflix Linux Firefox Other,2020-04-10T17:34:11.198Z,2021-08-19T19:46:12.834Z,2020-04-10T17:34:11.198Z,2021-08-19T19:46:12.834Z,2020-05-26T11:30:31.424Z,2021-07-08T10:53:39.474Z,2020-05-26T11:30:31.424Z,2021-07-08T10:53:39.474Z,
Tarik,NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0AD4B9281C99FEDDB68F6ECEB09FF5C47D980F7934D3199B8C9E87AA5184BFEA5,Android DefaultWidevineL3Phone Android Phone,2020-04-10T17:28:51.849Z,2021-11-20T20:23:01.919Z,2020-04-10T17:28:51.849Z,2021-11-20T20:23:01.919Z,,,,,
Tarik,NFAPPL-02-IPHONE8=1-FC3FB06DACC290E1A14FFFE211E0D76DC9A430BDA65CF628569367C4ED27EAD3,Apple iPhone 6s,2020-04-10T17:29:58.209Z,2021-06-26T18:19:37.219Z,2020-04-10T17:29:58.209Z,2021-06-26T18:19:37.219Z,2020-04-10T17:29:58.209Z,2021-06-26T18:19:37.219Z,2020-04-10T17:29:58.209Z,2021-06-26T18:19:37.219Z,
Both,WWW-BROWSE-HE3EYZDQ7XAFMKUY4L47G8P48GY2T5,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Tarik,WWW-BROWSE-HE3EYZDQ7XAFMKUY4L47G8P48GY2T5,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Both,NFCDFF-LX-HD6JKZ3P60192651L99VR5GWU9964U,Netflix Linux Firefox Other,,,,,,,,,
Tarik,NFCDFF-LX-HD6JKZ3P60192651L99VR5GWU9964U,Netflix Linux Firefox Other,,,,,,,,,
Both,NFAPPL-02-IPHONE8=1-FC3FB06DACC290E1A14FFFE211E0D76DC9A430BDA65CF628569367C4ED27EAD3,Apple iPhone 6s,2020-04-10T17:29:58.209Z,2021-06-26T18:19:37.219Z,2020-04-10T17:29:58.209Z,2021-06-26T18:19:37.219Z,,,,,
Kids,NFCDFF-LX-G7W5J32VK8XVNEWMX62AF1EGAE3YJ2,Netflix Linux Firefox Other,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2020-04-10T16:54:08.569Z,2021-11-20T19:06:04.626Z,2021-02-13T16:47:38.228Z,2021-02-13T16:47:38.228Z,,,
Tarik,NFCDFF-LX-GAEK61QHGQY91WL3VYCW0NTMDUHHVL,Netflix Linux Firefox Other,,,,,,,,,
Tarik,NFCDFF-LX-G918GP6EA73PQRGNX0YVW68WUGUNT0,Netflix Linux Firefox Other,,,,,,,,,
